nhd_id,nhd_name,year,total,residential,commercial
51,Academy,1990,77,73,12
51,Academy,1991,99,82,19
51,Academy,1992,88,81,13
51,Academy,1993,105,98,10
51,Academy,1994,116,112,10
51,Academy,1995,133,127,12
51,Academy,1996,123,116,12
51,Academy,1997,140,134,10
51,Academy,1998,148,144,10
51,Academy,1999,159,150,13
51,Academy,2000,174,160,19
51,Academy,2001,171,158,18
51,Academy,2002,176,163,18
51,Academy,2003,177,164,17
51,Academy,2004,164,151,15
51,Academy,2005,161,148,15
51,Academy,2006,150,138,14
51,Academy,2007,157,144,13
51,Academy,2008,157,145,12
51,Academy,2009,137,130,7
51,Academy,2010,181,174,7
51,Academy,2011,200,190,7
51,Academy,2012,213,201,9
51,Academy,2013,219,207,8
51,Academy,2014,217,208,5
51,Academy,2015,223,215,4
51,Academy,2016,235,228,4
51,Academy,2017,219,212,4
51,Academy,2018,219,213,4
74,Baden,1990,16,12,4
74,Baden,1991,20,15,5
74,Baden,1992,33,26,6
74,Baden,1993,23,17,5
74,Baden,1994,31,28,3
74,Baden,1995,26,23,3
74,Baden,1996,44,40,4
74,Baden,1997,45,43,3
74,Baden,1998,79,76,6
74,Baden,1999,106,103,6
74,Baden,2000,128,123,8
74,Baden,2001,138,133,8
74,Baden,2002,142,138,7
74,Baden,2003,168,163,9
74,Baden,2004,167,163,7
74,Baden,2005,139,135,6
74,Baden,2006,144,132,11
74,Baden,2007,111,100,9
74,Baden,2008,149,138,9
74,Baden,2009,163,149,12
74,Baden,2010,172,158,12
74,Baden,2011,181,166,13
74,Baden,2012,196,182,12
74,Baden,2013,193,181,10
74,Baden,2014,257,241,13
74,Baden,2015,313,294,17
74,Baden,2016,290,271,17
74,Baden,2017,295,276,16
74,Baden,2018,330,311,16
22,Benton Park,1990,41,38,8
22,Benton Park,1991,63,59,12
22,Benton Park,1992,64,61,7
22,Benton Park,1993,66,63,8
22,Benton Park,1994,121,118,20
22,Benton Park,1995,86,83,17
22,Benton Park,1996,81,78,18
22,Benton Park,1997,70,67,14
22,Benton Park,1998,92,87,13
22,Benton Park,1999,82,77,14
22,Benton Park,2000,93,84,16
22,Benton Park,2001,90,80,18
22,Benton Park,2002,67,59,15
22,Benton Park,2003,67,59,15
22,Benton Park,2004,75,67,16
22,Benton Park,2005,70,61,14
22,Benton Park,2006,69,60,13
22,Benton Park,2007,67,59,11
22,Benton Park,2008,73,64,11
22,Benton Park,2009,64,58,8
22,Benton Park,2010,52,46,8
22,Benton Park,2011,32,29,6
22,Benton Park,2012,49,46,6
22,Benton Park,2013,52,49,6
22,Benton Park,2014,46,43,5
22,Benton Park,2015,38,35,5
22,Benton Park,2016,38,37,3
22,Benton Park,2017,40,39,3
22,Benton Park,2018,31,30,2
30,Benton Park West,1990,27,25,6
30,Benton Park West,1991,28,26,5
30,Benton Park West,1992,48,44,10
30,Benton Park West,1993,35,34,4
30,Benton Park West,1994,76,76,8
30,Benton Park West,1995,90,90,10
30,Benton Park West,1996,84,84,9
30,Benton Park West,1997,104,101,14
30,Benton Park West,1998,127,123,15
30,Benton Park West,1999,131,120,12
30,Benton Park West,2000,98,92,10
30,Benton Park West,2001,106,103,7
30,Benton Park West,2002,124,119,14
30,Benton Park West,2003,131,125,18
30,Benton Park West,2004,134,126,19
30,Benton Park West,2005,108,100,17
30,Benton Park West,2006,108,101,14
30,Benton Park West,2007,77,70,11
30,Benton Park West,2008,68,61,9
30,Benton Park West,2009,80,74,9
30,Benton Park West,2010,88,86,6
30,Benton Park West,2011,84,83,5
30,Benton Park West,2012,109,108,6
30,Benton Park West,2013,121,119,5
30,Benton Park West,2014,127,124,7
30,Benton Park West,2015,111,108,5
30,Benton Park West,2016,155,151,7
30,Benton Park West,2017,152,147,6
30,Benton Park West,2018,141,132,7
5,Bevo Mill,1990,7,6,2
5,Bevo Mill,1991,4,3,2
5,Bevo Mill,1992,9,5,4
5,Bevo Mill,1993,6,6,2
